index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division,web_source
1,RIT,13-1,0.7357,,0.9286,0.6973,0.6198,22,33 - 3,10 - 4,10 - 1,94 - 3,boys,D3,lacrossereference
2,Salisbury,14-0,0.7085,,1.0,0.6046,0.6248,38,1 - 1,18 - 2,8 - 3,125 - 11,boys,D3,lacrossereference
3,St. Lawrence,12-1,0.7055,,0.9231,0.6292,0.6402,1,10 - 21,10 - 0,2 - 1,72 - 11,boys,D3,lacrossereference
4,RPI,13-0,0.7024,,1.0,0.5848,0.64,7,8 - 17,7 - 1,6 - 1,55 - 17,boys,D3,lacrossereference
5,Union,9-3,0.6917,,0.75,0.6979,0.6212,1,12 - 22,7 - 3,16 - 1,55 - 11,boys,D3,lacrossereference
6,Christopher Newport,9-4,0.6859,,0.6923,0.7191,0.6132,15,2 - 17,2 - 1,16 - 3,86 - 16,boys,D3,lacrossereference
7,Tufts,10-2,0.6847,,0.8333,0.6405,0.6247,20,5 - 5,1 - 0,17 - 6,93 - 5,boys,D3,lacrossereference
8,Dickinson,11-2,0.6845,,0.8462,0.6469,0.5981,52,1 - 1,7 - 3,6 - 1,86 - 30,boys,D3,lacrossereference
9,Swarthmore,11-1,0.6697,,0.9167,0.5778,0.6066,63,0 - 0,7 - 9,1 - 1,62 - 30,boys,D3,lacrossereference
10,Vassar,9-4,0.6552,,0.6923,0.674,0.5803,10,2 - 29,2 - 6,0 - 3,40 - 27,boys,D3,lacrossereference
11,Babson,11-2,0.6488,,0.8462,0.591,0.567,28,0 - 14,1 - 2,3 - 6,65 - 24,boys,D3,lacrossereference
12,Bowdoin,10-2,0.6473,,0.8333,0.5812,0.5935,44,1 - 2,1 - 6,12 - 6,48 - 24,boys,D3,lacrossereference
13,Wesleyan,9-3,0.6466,,0.75,0.6199,0.5966,30,4 - 3,7 - 6,4 - 2,67 - 21,boys,D3,lacrossereference
14,Ohio Wesleyan,8-3,0.6455,,0.7273,0.6353,0.5843,8,2 - 9,0 - 1,2 - 2,78 - 24,boys,D3,lacrossereference
15,Washington and Lee,11-3,0.6448,,0.7857,0.5959,0.6019,40,0 - 2,2 - 6,8 - 2,80 - 35,boys,D3,lacrossereference
16,Roanoke,12-2,0.644,,0.8571,0.5691,0.5809,38,0 - 3,2 - 11,4 - 7,73 - 23,boys,D3,lacrossereference
17,Hope,9-3,0.6434,,0.75,0.6338,0.5559,122,0 - 0,0 - 1,3 - 3,87 - 28,boys,D3,lacrossereference
18,Endicott,12-1,0.6418,,0.9231,0.5398,0.5646,44,0 - 7,0 - 4,3 - 7,91 - 30,boys,D3,lacrossereference
19,Grove City,10-4,0.6331,,0.7143,0.6281,0.562,66,0 - 2,1 - 3,1 - 3,50 - 21,boys,D3,lacrossereference
20,Elmhurst,10-2,0.6325,,0.8333,0.5646,0.5673,112,0 - 0,0 - 0,3 - 5,73 - 42,boys,D3,lacrossereference
21,Cortland,8-3,0.632,,0.7273,0.603,0.5947,1,1 - 16,0 - 1,3 - 1,83 - 16,boys,D3,lacrossereference
22,Geneseo,8-5,0.6307,,0.6154,0.6705,0.5663,13,0 - 15,0 - 0,0 - 0,56 - 31,boys,D3,lacrossereference
23,Gettysburg,8-5,0.6296,,0.6154,0.6514,0.6004,19,3 - 7,11 - 11,7 - 2,88 - 16,boys,D3,lacrossereference
24,Hampden-Sydney,11-4,0.627,,0.7333,0.6113,0.552,37,0 - 3,2 - 7,8 - 10,79 - 23,boys,D3,lacrossereference
25,Stevens,11-2,0.6262,,0.8462,0.5527,0.5533,34,0 - 4,2 - 13,6 - 3,101 - 17,boys,D3,lacrossereference
26,Williams,6-6,0.625,,0.5,0.6968,0.6064,28,9 - 6,2 - 10,9 - 9,46 - 20,boys,D3,lacrossereference
27,Lynchburg,8-5,0.6237,,0.6154,0.6511,0.5771,15,3 - 10,2 - 9,15 - 7,84 - 17,boys,D3,lacrossereference
28,Skidmore,9-5,0.6229,,0.6429,0.6338,0.5811,10,1 - 28,4 - 4,1 - 8,43 - 23,boys,D3,lacrossereference
29,Middlebury,7-6,0.6193,,0.5385,0.67,0.5989,21,7 - 10,2 - 7,13 - 9,46 - 13,boys,D3,lacrossereference
30,Stockton,10-5,0.6146,,0.6667,0.6143,0.5631,47,0 - 4,2 - 4,0 - 1,107 - 24,boys,D3,lacrossereference
31,Randolph-Macon,11-3,0.6125,,0.7857,0.5583,0.5476,62,0 - 1,0 - 6,1 - 12,68 - 33,boys,D3,lacrossereference
32,York,6-7,0.6111,,0.4615,0.6971,0.5886,8,2 - 17,5 - 4,7 - 3,104 - 14,boys,D3,lacrossereference
33,North Central (IL),9-2,0.6073,,0.8182,0.5474,0.5163,118,0 - 0,0 - 0,3 - 5,63 - 33,boys,D3,lacrossereference
34,Denison,9-5,0.607,,0.6429,0.6038,0.5777,56,0 - 3,1 - 3,15 - 9,86 - 11,boys,D3,lacrossereference
35,Amherst,8-4,0.6065,,0.6667,0.5749,0.6095,34,1 - 3,4 - 7,13 - 7,67 - 15,boys,D3,lacrossereference
36,Illinois Wesleyan,9-3,0.6063,,0.75,0.5534,0.5682,67,0 - 2,0 - 3,17 - 4,90 - 23,boys,D3,lacrossereference
37,Stevenson,8-5,0.6056,,0.6154,0.6065,0.5939,13,1 - 9,2 - 11,3 - 0,91 - 29,boys,D3,lacrossereference
38,Cabrini,11-3,0.6052,,0.7857,0.5539,0.5275,17,2 - 9,4 - 4,6 - 1,108 - 15,boys,D3,lacrossereference
39,Sewanee,10-4,0.6042,,0.7143,0.5851,0.5325,86,0 - 0,0 - 2,1 - 6,53 - 35,boys,D3,lacrossereference
40,Centre,12-3,0.6029,,0.8,0.5413,0.5291,123,0 - 0,0 - 0,2 - 4,65 - 31,boys,D3,lacrossereference
41,Kenyon,8-5,0.601,,0.6154,0.6064,0.5756,75,0 - 1,0 - 1,4 - 10,71 - 23,boys,D3,lacrossereference
42,Muhlenberg,7-7,0.5974,,0.5,0.6475,0.5946,42,0 - 5,5 - 11,0 - 0,57 - 42,boys,D3,lacrossereference
43,Nazareth,7-5,0.5949,,0.5833,0.6066,0.5833,5,1 - 16,1 - 0,0 - 3,62 - 49,boys,D3,lacrossereference
44,Wooster,10-3,0.5948,,0.7692,0.5404,0.5293,104,0 - 0,0 - 0,0 - 8,63 - 46,boys,D3,lacrossereference
45,Ithaca,6-7,0.5912,,0.4615,0.6462,0.6109,5,6 - 24,5 - 3,1 - 1,62 - 18,boys,D3,lacrossereference
46,Trinity,8-4,0.5892,,0.6667,0.5503,0.5894,60,0 - 0,0 - 7,6 - 12,41 - 35,boys,D3,lacrossereference
47,Alfred,9-2,0.5874,,0.8182,0.5072,0.5171,125,0 - 0,0 - 0,0 - 0,62 - 60,boys,D3,lacrossereference
48,Oberlin,8-5,0.5871,,0.6154,0.5891,0.5547,88,0 - 0,0 - 0,2 - 11,47 - 36,boys,D3,lacrossereference
49,Western Connecticut,8-4,0.5858,,0.6667,0.5874,0.502,145,0 - 1,0 - 1,0 - 1,73 - 48,boys,D3,lacrossereference
50,Calvin,9-3,0.5853,,0.75,0.522,0.5473,97,0 - 0,0 - 0,0 - 13,49 - 57,boys,D3,lacrossereference
51,Western New England,7-6,0.5832,,0.5385,0.6258,0.5428,30,0 - 8,0 - 2,8 - 14,90 - 29,boys,D3,lacrossereference
52,Colorado College,6-4,0.5781,,0.6,0.5855,0.5415,34,0 - 5,3 - 2,3 - 6,51 - 23,boys,D3,lacrossereference
53,Lake Forest,12-1,0.5769,,0.9231,0.4444,0.4956,188,0 - 0,0 - 0,1 - 2,30 - 11,boys,D3,lacrossereference
54,Ursinus,7-6,0.576,,0.5385,0.594,0.5776,40,0 - 3,9 - 9,0 - 0,62 - 34,boys,D3,lacrossereference
55,John Carroll,6-4,0.5753,,0.6,0.5887,0.5237,70,0 - 3,0 - 1,6 - 5,86 - 24,boys,D3,lacrossereference
56,Franklin & Marshall,6-8,0.5742,,0.4286,0.6438,0.5805,58,0 - 0,9 - 9,5 - 4,70 - 30,boys,D3,lacrossereference
57,Messiah,10-3,0.5737,,0.7692,0.4906,0.5442,97,0 - 0,0 - 1,4 - 3,68 - 52,boys,D3,lacrossereference
58,Mary Washington,7-6,0.5718,,0.5385,0.595,0.5586,17,0 - 10,1 - 9,1 - 10,46 - 45,boys,D3,lacrossereference
59,Saint John Fisher,7-6,0.567,,0.5385,0.5686,0.5924,10,1 - 15,0 - 3,0 - 0,84 - 31,boys,D3,lacrossereference
60,Aurora,8-5,0.5665,,0.6154,0.5727,0.5051,106,0 - 0,0 - 0,6 - 7,89 - 31,boys,D3,lacrossereference
61,Roger Williams,11-4,0.5656,,0.7333,0.5056,0.518,73,0 - 0,0 - 1,1 - 20,77 - 36,boys,D3,lacrossereference
62,Clarkson,6-7,0.5651,,0.4615,0.6007,0.5975,1,6 - 29,5 - 2,0 - 1,49 - 24,boys,D3,lacrossereference
63,Susquehanna,12-2,0.5648,,0.8571,0.4467,0.5085,131,0 - 1,0 - 2,0 - 1,80 - 55,boys,D3,lacrossereference
64,Berry,7-7,0.5641,,0.5,0.6052,0.546,77,0 - 4,0 - 2,0 - 0,50 - 35,boys,D3,lacrossereference
65,Piedmont,11-2,0.5622,,0.8462,0.4525,0.4978,175,0 - 0,0 - 0,0 - 0,51 - 42,boys,D3,lacrossereference
66,Wittenberg,5-4,0.5621,,0.5556,0.5719,0.549,82,0 - 0,0 - 0,0 - 11,46 - 44,boys,D3,lacrossereference
67,Saint Mary's (MD),10-3,0.5621,,0.7692,0.4878,0.5036,23,0 - 7,0 - 13,0 - 0,59 - 41,boys,D3,lacrossereference
68,Birmingham-Southern,9-4,0.5615,,0.6923,0.5098,0.5342,148,0 - 0,0 - 0,0 - 2,60 - 40,boys,D3,lacrossereference
